student_id,name,gender,date_of_birth,school_name,board,year_of_passing,math_score,science_score,english_score,social_score,second_language_score,overall_percentage,was_consistent_performer,top_subjects,weak_subjects,remedial_classes_taken,average_study_hours_per_day,study_method,preferred_learning_style,attendance_percentage,participated_in_olympiads,extracurricular_focus,leadership_roles,confidence_level_in_subjects,motivation_level,parental_education_level,internet_access_at_home
122,Tejas Subramanian,Female,2007-10-17,Walker-Bennett School,ICSE,2023,83,64,83,51,48,65.8,No,"Mathematics, English","Second Language, Social Science",No,1.8,Coaching,Reading,70,Yes,Debate,No,4,4,Postgraduate,No
123,Seher Contractor,Male,2009-06-25,Vazquez PLC School,ICSE,2022,47,95,95,40,43,64.0,Yes,"Science, English","Social Science, Second Language",Yes,2.7,Solo,Visual,96,Yes,Debate,Yes,3,1,Postgraduate,No
124,Navya Goel,Female,2009-01-13,"Burton, West and Cook School",CBSE,2023,74,45,70,65,94,69.6,No,"Second Language, Mathematics","Science, Social Science",Yes,2.2,Solo,Practical,82,No,Arts,Yes,4,2,Graduate,No
125,Devansh Golla,Male,2007-11-16,"Cabrera, Taylor and Martin School",CBSE,2023,94,81,45,63,57,68.0,No,"Mathematics, Science","English, Second Language",Yes,2.5,Coaching,Auditory,100,No,Arts,Yes,5,4,High School,No
126,Khushi Vaidya,Female,2009-09-30,"Allen, Floyd and Sims School",ICSE,2021,69,89,76,87,100,84.2,No,"Second Language, Science","Mathematics, English",Yes,3.5,Coaching,Visual,88,No,Debate,Yes,4,5,Graduate,Yes
127,Keya Balakrishnan,Female,2007-06-15,Murphy-Meyer School,ICSE,2023,92,55,74,72,76,73.8,Yes,"Mathematics, Second Language","Science, Social Science",Yes,4.7,Group,Reading,96,Yes,Arts,No,5,5,Graduate,No
128,Oorja Rout,Female,2009-05-22,Warner PLC School,CBSE,2022,44,94,42,62,50,58.4,Yes,"Science, Social Science","English, Mathematics",Yes,3.6,Group,Auditory,72,Yes,Debate,Yes,3,3,High School,Yes
129,Aarav Gade,Male,2008-12-09,White-Copeland School,State,2023,79,40,89,79,46,66.6,Yes,"English, Mathematics","Science, Second Language",No,4.7,Group,Auditory,79,Yes,Music,No,3,4,None,No
130,Dhruv Mangat,Male,2007-05-30,"Gordon, Donovan and Reed School",CBSE,2023,45,90,42,87,40,60.8,No,"Science, Social Science","Second Language, English",No,5.0,Coaching,Visual,93,No,Music,Yes,5,5,Postgraduate,No
131,Chirag Gola,Male,2009-04-08,Harris-Alvarez School,ICSE,2023,88,60,43,56,93,68.0,No,"Second Language, Mathematics","English, Social Science",No,2.4,Coaching,Auditory,72,No,Sports,No,4,4,High School,No
132,Samar Kari,Female,2007-05-10,"Patterson, Ross and Christensen School",CBSE,2022,59,84,100,94,48,77.0,Yes,"English, Social Science","Second Language, Mathematics",Yes,4.0,Solo,Auditory,94,Yes,Arts,Yes,2,5,Graduate,Yes
133,Anahi Aggarwal,Male,2008-10-21,"Brown, Harris and Underwood School",ICSE,2022,70,42,74,80,46,62.4,Yes,"Social Science, English","Science, Second Language",No,3.0,Group,Auditory,96,Yes,Arts,No,5,3,Postgraduate,Yes
134,Tejas Tak,Male,2007-10-23,Higgins-Mejia School,CBSE,2023,99,96,98,85,56,86.8,Yes,"Mathematics, English","Second Language, Social Science",No,3.5,Coaching,Practical,100,No,Music,No,5,2,None,Yes
135,Kismat Din,Female,2008-08-09,Sanchez-Benton School,State,2022,49,59,100,40,47,59.0,Yes,"English, Science","Social Science, Second Language",Yes,1.8,Coaching,Auditory,100,Yes,None,No,2,5,High School,Yes
136,Kimaya Comar,Male,2009-01-31,"Mercado, Jackson and Hart School",State,2021,93,97,51,67,48,71.2,No,"Science, Mathematics","Second Language, English",Yes,1.1,Solo,Reading,71,Yes,Arts,No,2,5,Postgraduate,No
137,Zara Chakrabarti,Male,2007-10-15,Daniels-Hernandez School,ICSE,2022,45,85,42,53,82,61.4,Yes,"Science, Second Language","English, Mathematics",Yes,4.2,Coaching,Auditory,98,No,Arts,Yes,1,4,Postgraduate,No
138,Samiha Batra,Male,2007-09-18,"Wright, Robbins and Fisher School",State,2023,66,81,81,84,81,78.6,Yes,"Social Science, Science","Mathematics, Science",Yes,3.1,Solo,Auditory,96,No,Arts,Yes,3,5,Postgraduate,Yes
139,Chirag Shankar,Male,2010-03-18,Compton LLC School,State,2023,41,70,50,98,78,67.4,No,"Social Science, Second Language","Mathematics, English",No,3.6,Group,Reading,70,Yes,Debate,Yes,3,3,Postgraduate,Yes
140,Kanav Mall,Female,2007-11-27,Lawson PLC School,CBSE,2022,74,42,95,61,58,66.0,Yes,"English, Mathematics","Science, Second Language",No,1.6,Solo,Auditory,72,No,Sports,Yes,1,1,None,Yes
141,Ishita Sant,Male,2010-02-18,Rogers Group School,State,2023,67,85,68,48,56,64.8,No,"Science, English","Social Science, Second Language",No,2.3,Coaching,Auditory,82,Yes,Music,No,1,5,Graduate,No
142,Aarav Dutta,Female,2007-10-10,Spencer and Sons School,State,2023,100,95,59,91,92,87.4,Yes,"Mathematics, Science","English, Social Science",Yes,3.7,Solo,Auditory,76,Yes,Debate,No,1,5,Postgraduate,No
143,Lagan Bhatt,Female,2008-01-16,Jones Group School,ICSE,2021,69,87,46,46,70,63.6,No,"Science, Second Language","English, Social Science",Yes,2.5,Solo,Visual,71,Yes,None,Yes,1,5,Postgraduate,Yes
144,Lakshit Bajaj,Male,2010-02-11,Taylor-Jordan School,CBSE,2023,90,64,50,89,54,69.4,Yes,"Mathematics, Social Science","English, Second Language",Yes,1.9,Group,Auditory,71,Yes,Arts,Yes,5,4,Postgraduate,No
145,Nirvi Kohli,Male,2010-01-08,Perry-Raymond School,CBSE,2022,99,73,73,68,69,76.4,Yes,"Mathematics, Science","Social Science, Second Language",Yes,2.8,Group,Visual,85,Yes,Debate,No,5,1,None,No
146,Devansh Chauhan,Female,2009-07-12,"Freeman, Hill and Harris School",CBSE,2022,50,63,57,97,75,68.4,No,"Social Science, Second Language","Mathematics, English",Yes,4.6,Group,Reading,76,No,None,Yes,5,1,None,Yes
147,Manikya Gandhi,Male,2009-09-24,Cochran PLC School,ICSE,2023,88,96,58,70,94,81.2,Yes,"Science, Second Language","English, Social Science",No,4.8,Solo,Reading,79,Yes,Debate,Yes,4,1,High School,Yes
148,Azad Balasubramanian,Female,2008-06-22,Johnson and Sons School,ICSE,2022,56,94,66,72,84,74.4,Yes,"Science, Second Language","Mathematics, English",Yes,4.1,Group,Practical,89,Yes,Sports,No,4,4,Graduate,No
149,Ritvik Chadha,Female,2007-07-18,Adams-Mercado School,ICSE,2021,41,60,100,74,72,69.4,Yes,"English, Social Science","Mathematics, Science",No,2.3,Solo,Auditory,82,Yes,Arts,No,1,1,None,Yes
150,Seher Badami,Male,2007-11-12,Matthews and Sons School,State,2022,57,56,63,94,64,66.8,Yes,"Social Science, Second Language","Science, Mathematics",Yes,5.0,Solo,Reading,80,Yes,Arts,No,2,3,None,No
151,Saanvi Kant,Female,2008-11-25,"Garcia, Malone and Smith School",CBSE,2021,44,96,88,59,73,72.0,No,"Science, English","Mathematics, Social Science",Yes,1.6,Coaching,Practical,72,Yes,Sports,No,5,1,Graduate,Yes
152,Ayesha Gera,Female,2009-06-26,"Erickson, Keith and Alexander School",State,2021,52,59,62,87,95,71.0,No,"Second Language, Social Science","Mathematics, Science",No,4.8,Coaching,Visual,98,No,Debate,Yes,1,1,Graduate,Yes
153,Khushi Dora,Male,2007-07-15,"Taylor, Smith and Vasquez School",State,2021,100,47,46,94,83,74.0,Yes,"Mathematics, Social Science","English, Science",No,1.3,Group,Auditory,74,Yes,Sports,No,1,1,Graduate,No
154,Piya Char,Male,2008-03-19,Davis-Mcgee School,State,2022,59,80,58,66,65,65.6,No,"Science, Social Science","English, Mathematics",Yes,3.1,Group,Practical,80,No,None,Yes,5,1,High School,Yes
155,Kanav Soman,Male,2007-10-05,May-Miller School,ICSE,2023,92,60,55,83,57,69.4,Yes,"Mathematics, Social Science","English, Second Language",No,1.3,Group,Visual,71,Yes,Music,Yes,1,1,None,No
156,Vanya Venkataraman,Male,2010-01-18,Romero-Mason School,State,2021,86,51,72,97,50,71.2,Yes,"Social Science, Mathematics","Second Language, Science",No,4.0,Group,Auditory,89,Yes,Music,Yes,4,2,Postgraduate,No
157,Hrishita Kari,Female,2007-07-04,"Williams, Ryan and Smith School",CBSE,2022,62,85,43,70,59,63.8,Yes,"Science, Social Science","English, Second Language",No,2.9,Solo,Reading,85,No,Music,No,3,2,None,Yes
158,Shlok Manda,Female,2008-09-11,Salas Ltd School,ICSE,2022,62,67,69,44,97,67.8,No,"Second Language, English","Social Science, Mathematics",No,4.7,Coaching,Reading,97,No,Music,Yes,5,1,Postgraduate,Yes
159,Adah Barad,Male,2008-09-24,Mclaughlin-Warren School,CBSE,2023,55,92,73,86,61,73.4,No,"Science, Social Science","Mathematics, Second Language",No,4.1,Solo,Practical,85,No,Sports,Yes,2,1,Graduate,Yes
160,Rati Saha,Female,2007-08-15,Bowman-Preston School,ICSE,2022,78,64,68,71,55,67.2,No,"Mathematics, Social Science","Second Language, Science",Yes,1.0,Group,Practical,95,No,None,Yes,4,2,Graduate,No
161,Manikya Wali,Male,2007-07-30,Collins-Schultz School,ICSE,2022,58,48,42,40,47,47.0,Yes,"Mathematics, Science","Social Science, English",Yes,3.8,Coaching,Auditory,91,Yes,Sports,No,4,5,None,No
162,Vritika Krishna,Female,2009-08-13,"Oliver, Ballard and Edwards School",ICSE,2023,64,92,86,66,41,69.8,Yes,"Science, English","Second Language, Mathematics",No,3.8,Coaching,Practical,77,Yes,None,Yes,1,2,Graduate,No
163,Umang Handa,Male,2008-04-19,"Maxwell, Parker and Banks School",State,2023,87,67,93,47,91,77.0,No,"English, Second Language","Social Science, Science",No,4.1,Coaching,Practical,85,No,Music,Yes,3,2,None,Yes
164,Darshit Raj,Male,2007-07-31,"Robinson, Guzman and Scott School",CBSE,2023,51,73,53,85,63,65.0,Yes,"Social Science, Science","Mathematics, English",Yes,3.4,Solo,Reading,86,Yes,Debate,No,3,3,High School,No
165,Seher Vaidya,Female,2008-07-26,Austin and Sons School,ICSE,2022,42,54,66,99,73,66.8,Yes,"Social Science, Second Language","Mathematics, Science",No,1.8,Solo,Auditory,93,No,None,No,5,4,High School,No
166,Shanaya Hari,Male,2009-02-07,Mills PLC School,CBSE,2021,88,42,82,69,61,68.4,No,"Mathematics, English","Science, Second Language",Yes,3.1,Group,Practical,72,No,Music,No,5,4,Postgraduate,Yes
167,Taran Bhargava,Male,2008-05-16,Lloyd-Bell School,ICSE,2023,50,95,85,41,96,73.4,No,"Second Language, Science","Social Science, Mathematics",Yes,1.3,Group,Practical,77,No,None,Yes,4,2,None,No
168,Fateh Rajan,Female,2008-08-22,Glover-Johnson School,CBSE,2023,47,80,61,47,67,60.4,Yes,"Science, Second Language","Mathematics, Social Science",Yes,1.5,Solo,Reading,82,No,Music,No,1,2,Postgraduate,Yes
169,Oorja Dixit,Male,2010-03-20,"Powell, Humphrey and Freeman School",State,2022,81,53,98,92,53,75.4,No,"English, Social Science","Science, Second Language",No,3.0,Group,Reading,82,No,Debate,Yes,5,2,Graduate,No
170,Oorja Dhillon,Female,2009-08-08,Ayala-Morales School,ICSE,2021,69,61,72,74,43,63.8,No,"Social Science, English","Second Language, Science",No,2.4,Group,Reading,84,No,Music,Yes,4,5,None,Yes
171,Divij Bhatti,Male,2010-01-20,"Harris, Thomas and Rivera School",State,2023,42,62,54,70,59,57.4,No,"Social Science, Science","Mathematics, English",Yes,2.0,Group,Auditory,72,No,Music,Yes,1,4,Graduate,No
172,Aarna Kanda,Female,2007-09-26,Powers Inc School,CBSE,2021,46,86,88,52,88,72.0,Yes,"English, Second Language","Mathematics, Social Science",Yes,1.2,Group,Visual,100,Yes,Debate,No,4,4,High School,Yes
173,Dhanuk Rau,Male,2010-03-04,"Fernandez, Williams and Cervantes School",ICSE,2022,100,71,56,98,57,76.4,Yes,"Mathematics, Social Science","English, Second Language",No,1.3,Coaching,Practical,99,No,Sports,No,3,2,High School,Yes
174,Stuvan Din,Male,2009-01-09,Hines-Thomas School,ICSE,2022,52,56,75,49,45,55.4,No,"English, Science","Second Language, Social Science",No,4.7,Solo,Reading,84,Yes,None,No,3,5,Graduate,No
175,Riaan Dhingra,Male,2009-07-29,Morton-Hurley School,CBSE,2022,49,76,63,89,90,73.4,Yes,"Second Language, Social Science","Mathematics, English",No,4.8,Group,Auditory,97,Yes,Music,No,5,2,Postgraduate,No
176,Saksham Bhatnagar,Male,2009-05-01,White-Hoffman School,ICSE,2021,69,71,54,41,57,58.4,No,"Science, Mathematics","Social Science, English",Yes,4.7,Solo,Auditory,86,Yes,Music,No,1,1,Postgraduate,Yes
177,Diya Sathe,Male,2009-02-23,"Burns, Williams and Foster School",ICSE,2021,62,90,50,50,99,70.2,Yes,"Second Language, Science","English, Social Science",No,3.2,Coaching,Reading,74,Yes,Arts,No,1,5,Postgraduate,No
178,Neelofar Gour,Female,2010-04-05,Black-Williamson School,State,2023,88,85,74,98,63,81.6,No,"Social Science, Mathematics","Second Language, English",No,4.0,Solo,Visual,84,No,None,Yes,1,4,Graduate,No
179,Priyansh Shere,Female,2008-08-11,"Knox, Davis and Williams School",ICSE,2022,55,62,85,87,98,77.4,No,"Second Language, Social Science","Mathematics, Science",Yes,4.6,Group,Practical,74,Yes,None,No,1,2,None,Yes
180,Mohanlal Gupta,Female,2008-10-04,"Bass, Stewart and Villarreal School",State,2023,50,92,80,94,55,74.2,Yes,"Social Science, Science","Mathematics, Second Language",Yes,2.3,Group,Reading,76,Yes,Arts,No,4,1,High School,No
181,Ela Dhingra,Male,2007-09-09,Fox Group School,ICSE,2022,66,65,41,83,54,61.8,Yes,"Social Science, Mathematics","English, Second Language",No,2.0,Coaching,Auditory,100,No,None,Yes,5,2,Graduate,Yes
182,Shalv Soni,Female,2007-09-08,Collins Group School,State,2021,91,81,40,87,62,72.2,No,"Mathematics, Social Science","English, Second Language",Yes,2.5,Solo,Reading,88,Yes,Music,Yes,3,2,Graduate,No
183,Umang Ramakrishnan,Female,2010-02-09,"Johnson, Lin and Gordon School",State,2022,97,94,65,97,57,82.0,Yes,"Mathematics, Social Science","Second Language, English",Yes,4.8,Group,Practical,76,Yes,None,Yes,1,4,High School,Yes
184,Arhaan Bedi,Female,2010-04-10,Myers-Martinez School,CBSE,2022,47,77,71,78,51,64.8,Yes,"Social Science, Science","Mathematics, Second Language",No,2.2,Coaching,Visual,72,No,Sports,Yes,4,4,Graduate,No
185,Mohanlal Dugar,Male,2007-11-14,Powell-Hull School,ICSE,2022,64,74,49,74,93,70.8,Yes,"Second Language, Science","English, Mathematics",Yes,1.1,Coaching,Visual,84,No,Debate,Yes,4,5,Postgraduate,No
186,Pihu Chanda,Male,2009-04-24,Rogers LLC School,ICSE,2021,43,71,98,70,76,71.6,No,"English, Second Language","Mathematics, Social Science",No,3.4,Coaching,Practical,72,No,Sports,No,3,3,High School,Yes
187,Pari Sarkar,Female,2007-05-27,Page PLC School,ICSE,2022,73,76,46,96,94,77.0,No,"Social Science, Second Language","English, Mathematics",Yes,4.9,Solo,Practical,98,Yes,Arts,Yes,5,5,High School,No
188,Rania Tak,Male,2008-09-20,"Velasquez, Fry and Alvarado School",CBSE,2022,44,86,100,73,67,74.0,No,"English, Science","Mathematics, Second Language",Yes,4.7,Coaching,Reading,98,No,None,No,4,5,High School,No
189,Ishita Barman,Female,2008-07-16,Hobbs-Parker School,CBSE,2022,48,61,95,48,87,67.8,No,"English, Second Language","Mathematics, Social Science",No,3.7,Coaching,Practical,90,No,Sports,No,2,4,High School,Yes
190,Advika Hari,Male,2007-08-16,Garcia PLC School,State,2021,83,46,71,43,69,62.4,Yes,"Mathematics, English","Social Science, Science",Yes,3.6,Coaching,Visual,72,Yes,Sports,Yes,3,1,Graduate,No
191,Adira Doshi,Male,2007-12-12,Kelley-Morse School,ICSE,2022,53,61,52,85,52,60.6,Yes,"Social Science, Science","English, Second Language",Yes,3.2,Solo,Visual,96,No,Arts,Yes,3,5,Postgraduate,Yes
192,Ritvik Toor,Female,2009-09-05,"Williams, Wiley and Munoz School",ICSE,2022,68,76,88,47,67,69.2,No,"English, Science","Social Science, Second Language",No,1.4,Solo,Practical,100,Yes,Arts,Yes,2,4,Graduate,No
193,Mannat Sandhu,Male,2009-06-10,Potter-Lara School,State,2021,87,49,49,56,43,56.8,Yes,"Mathematics, Social Science","Second Language, Science",No,3.6,Solo,Visual,95,No,Music,Yes,4,4,None,Yes
194,Dhanush Rama,Female,2008-11-08,Martinez Inc School,ICSE,2021,85,46,100,46,65,68.4,Yes,"English, Mathematics","Science, Social Science",Yes,3.9,Solo,Practical,91,No,Sports,Yes,1,2,Postgraduate,Yes
195,Shalv Iyengar,Male,2009-05-25,Gomez Inc School,CBSE,2021,68,83,85,64,64,72.8,Yes,"English, Science","Social Science, Second Language",Yes,1.5,Group,Auditory,84,No,Debate,Yes,4,4,Graduate,Yes
196,Indranil Bava,Female,2009-05-23,Hernandez Inc School,State,2021,95,61,58,65,83,72.4,No,"Mathematics, Second Language","English, Science",No,2.2,Coaching,Reading,73,No,Music,Yes,2,3,Postgraduate,Yes
197,Rania Chaudhuri,Male,2009-10-13,"Moreno, Keller and Jackson School",ICSE,2022,64,67,85,60,69,69.0,Yes,"English, Second Language","Social Science, Mathematics",Yes,4.4,Solo,Visual,95,No,Music,No,1,5,High School,No
198,Madhav Chatterjee,Male,2007-06-13,Rangel Inc School,State,2023,82,63,88,51,57,68.2,No,"English, Mathematics","Social Science, Second Language",Yes,1.9,Coaching,Practical,78,Yes,None,Yes,5,5,None,Yes
199,Badal Mangal,Female,2007-12-13,Baker-Marks School,CBSE,2023,56,91,86,57,60,70.0,Yes,"Science, English","Mathematics, Social Science",Yes,4.4,Solo,Practical,81,No,Arts,No,2,1,None,Yes
200,Inaaya  Butala,Male,2009-01-27,Moses-Morgan School,State,2021,88,50,96,88,94,83.2,Yes,"English, Second Language","Science, Mathematics",No,4.5,Group,Auditory,97,No,None,No,1,1,Postgraduate,Yes
201,Tanya Dey,Male,2009-06-20,"Salas, Cook and Bishop School",State,2021,72,67,93,91,68,78.2,No,"English, Social Science","Science, Second Language",No,3.4,Coaching,Reading,87,Yes,Music,Yes,3,4,None,Yes
202,Nirvaan Kumar,Male,2007-11-08,"Owens, Allen and Miranda School",State,2022,69,54,73,46,50,58.4,No,"English, Mathematics","Social Science, Second Language",Yes,4.5,Solo,Visual,78,No,Music,No,4,3,Graduate,No
203,Yuvraj  Sawhney,Female,2007-06-07,Newman Ltd School,CBSE,2023,91,52,79,79,62,72.6,No,"Mathematics, English","Science, Second Language",No,1.4,Group,Auditory,92,No,Sports,No,3,4,Postgraduate,No
204,Vritika Varghese,Male,2009-11-22,Crawford Ltd School,ICSE,2023,99,47,85,60,63,70.8,No,"Mathematics, English","Science, Social Science",No,4.5,Coaching,Reading,100,Yes,None,No,4,1,High School,Yes
205,Jayant Anand,Female,2009-11-19,Franklin-Ware School,CBSE,2021,62,87,83,66,81,75.8,Yes,"Science, English","Mathematics, Social Science",No,3.5,Solo,Practical,79,Yes,Sports,Yes,4,2,None,No
206,Nakul Chacko,Male,2008-01-28,"Lynch, Smith and Jackson School",State,2022,52,83,55,54,99,68.6,Yes,"Second Language, Science","Mathematics, Social Science",Yes,3.0,Group,Visual,86,No,Debate,No,5,1,Postgraduate,No
207,Zara Shankar,Female,2009-07-13,Martinez and Sons School,CBSE,2023,40,62,60,95,57,62.8,No,"Social Science, Science","Mathematics, Second Language",Yes,3.6,Solo,Reading,100,Yes,Arts,No,5,1,High School,Yes
208,Kavya Atwal,Female,2010-02-18,Smith Group School,CBSE,2021,72,72,49,96,79,73.6,Yes,"Social Science, Second Language","English, Mathematics",No,2.2,Group,Reading,73,No,Arts,Yes,5,1,Graduate,No
209,Jayan Mani,Male,2007-05-14,Mcbride Inc School,ICSE,2021,49,42,90,81,89,70.2,No,"English, Second Language","Science, Mathematics",No,3.2,Solo,Auditory,93,No,None,Yes,5,2,High School,Yes
210,Jiya Sarraf,Female,2008-01-29,Hernandez Group School,ICSE,2022,81,86,92,90,41,78.0,Yes,"English, Social Science","Second Language, Mathematics",No,1.5,Solo,Reading,79,No,Debate,Yes,3,1,High School,No
211,Kanav Talwar,Male,2009-07-04,Huff and Sons School,State,2021,96,80,84,82,100,88.4,Yes,"Second Language, Mathematics","Science, Social Science",No,4.5,Coaching,Visual,74,No,Debate,Yes,4,2,None,Yes
212,Urvi Gole,Female,2009-08-03,"Thompson, Hudson and Becker School",CBSE,2023,68,58,70,76,48,64.0,Yes,"Social Science, English","Second Language, Science",No,4.6,Group,Auditory,98,Yes,Arts,Yes,1,4,None,No
213,Pranay Arya,Male,2009-05-25,Cooper-Macias School,State,2021,89,85,94,88,48,80.8,Yes,"English, Mathematics","Second Language, Science",Yes,1.7,Solo,Visual,82,Yes,None,No,5,5,Postgraduate,Yes
214,Lavanya Saxena,Female,2008-12-23,Bowman-Sandoval School,ICSE,2023,63,44,79,62,50,59.6,No,"English, Mathematics","Science, Second Language",No,2.9,Coaching,Reading,83,Yes,Sports,Yes,2,4,High School,No
215,Abram Doshi,Female,2008-10-04,Young LLC School,ICSE,2022,61,64,42,86,92,69.0,No,"Second Language, Social Science","English, Mathematics",No,1.9,Solo,Auditory,99,No,None,No,3,4,None,Yes
216,Anay Gole,Female,2010-01-07,"Murray, Davis and Jensen School",State,2021,45,52,80,79,92,69.6,Yes,"Second Language, English","Mathematics, Science",No,3.4,Solo,Practical,100,Yes,Music,Yes,5,5,High School,No
217,Jayant Toor,Male,2007-12-11,Crawford-Maldonado School,State,2021,40,82,80,64,84,70.0,Yes,"Second Language, Science","Mathematics, Social Science",No,2.5,Coaching,Reading,96,Yes,Arts,Yes,5,4,Postgraduate,No
218,Veer Sem,Male,2009-11-16,Joyce-Zamora School,ICSE,2023,58,60,78,49,59,60.8,No,"English, Science","Social Science, Mathematics",Yes,4.7,Group,Practical,79,Yes,Music,No,4,4,Postgraduate,Yes
219,Adira Ben,Male,2009-09-08,Dyer-English School,State,2023,87,100,71,42,60,72.0,No,"Science, Mathematics","Social Science, Second Language",Yes,4.6,Coaching,Practical,83,No,None,No,5,1,None,Yes
220,Vidur Tandon,Female,2007-10-29,Smith Ltd School,State,2022,84,46,47,79,88,68.8,No,"Second Language, Mathematics","Science, English",No,2.3,Group,Practical,73,No,Sports,No,3,2,High School,No
221,Lakshay Keer,Female,2009-06-02,"Short, Warren and Ponce School",State,2023,82,71,56,59,90,71.6,No,"Second Language, Mathematics","English, Social Science",Yes,1.4,Coaching,Practical,97,No,Arts,No,5,1,None,Yes
222,Pranay Khanna,Female,2009-11-27,Hensley-Martinez School,ICSE,2021,82,50,68,48,73,64.2,No,"Mathematics, Second Language","Social Science, Science",Yes,4.8,Group,Reading,94,No,Music,No,3,3,None,No
223,Dhanuk Bhandari,Male,2009-09-16,Oliver-Carpenter School,ICSE,2023,78,62,44,67,72,64.6,Yes,"Mathematics, Second Language","English, Science",Yes,2.0,Solo,Auditory,84,Yes,None,Yes,4,5,Postgraduate,Yes
224,Anya Buch,Male,2007-09-25,Baldwin Inc School,CBSE,2023,48,40,69,51,92,60.0,Yes,"Second Language, English","Science, Mathematics",No,3.3,Group,Reading,94,Yes,Debate,No,5,5,None,No
225,Myra Manne,Female,2009-03-25,Williams LLC School,ICSE,2023,48,43,49,100,86,65.2,No,"Social Science, Second Language","Science, Mathematics",No,2.2,Coaching,Visual,73,Yes,Arts,Yes,3,5,None,No
226,Prerak Ramanathan,Male,2007-11-25,"Hall, Potts and Thompson School",CBSE,2022,89,92,64,79,43,73.4,Yes,"Science, Mathematics","Second Language, English",Yes,3.3,Coaching,Reading,74,No,None,Yes,3,5,Postgraduate,Yes
227,Shayak Dhingra,Female,2007-04-25,"Torres, Fry and Smith School",CBSE,2022,60,55,90,97,79,76.2,No,"Social Science, English","Science, Mathematics",Yes,2.3,Solo,Auditory,95,No,Music,Yes,2,2,High School,Yes
228,Kismat Wali,Female,2007-08-01,Wilson-Rice School,ICSE,2022,78,90,92,49,48,71.4,Yes,"English, Science","Second Language, Social Science",No,2.9,Coaching,Reading,83,Yes,Debate,Yes,1,2,None,No
229,Nayantara Dara,Male,2007-04-24,Zavala Ltd School,State,2022,83,58,83,69,42,67.0,Yes,"Mathematics, English","Second Language, Science",Yes,4.9,Solo,Visual,96,No,None,No,1,4,None,Yes
230,Tushar Tella,Female,2007-09-19,Thompson-Barton School,State,2023,74,54,42,57,98,65.0,No,"Second Language, Mathematics","English, Science",Yes,4.9,Group,Visual,92,No,Arts,No,4,3,None,Yes
231,Shray Karan,Male,2009-11-28,Munoz Inc School,CBSE,2022,96,83,72,77,59,77.4,Yes,"Mathematics, Science","Second Language, English",No,4.8,Solo,Visual,94,No,Arts,No,4,5,High School,No
232,Anaya Kulkarni,Female,2009-01-19,"Mcdowell, Greer and Williams School",CBSE,2021,78,92,72,94,89,85.0,Yes,"Social Science, Science","English, Mathematics",No,2.5,Solo,Auditory,82,Yes,Arts,Yes,1,5,Postgraduate,No
233,Abram Sundaram,Male,2007-06-20,"Webb, Matthews and Dixon School",CBSE,2023,63,85,94,75,66,76.6,No,"English, Science","Mathematics, Second Language",No,3.5,Coaching,Reading,97,No,Sports,Yes,4,2,None,No
234,Dhruv Iyengar,Female,2009-01-21,Jones LLC School,ICSE,2023,45,76,60,45,58,56.8,No,"Science, English","Mathematics, Social Science",No,1.8,Solo,Reading,73,No,Music,Yes,3,4,None,Yes
235,Neysa Dara,Female,2009-07-19,"Park, Floyd and Garcia School",CBSE,2023,82,84,60,75,46,69.4,No,"Science, Mathematics","Second Language, English",Yes,3.3,Solo,Auditory,96,Yes,Arts,No,3,2,High School,No
236,Ishita Randhawa,Male,2007-12-31,Hale PLC School,State,2021,50,55,88,84,94,74.2,No,"Second Language, English","Mathematics, Science",Yes,1.4,Group,Auditory,77,Yes,Sports,No,1,3,Postgraduate,Yes
237,Zara Sampath,Male,2007-05-01,Torres-Warren School,State,2022,95,96,72,76,41,76.0,No,"Science, Mathematics","Second Language, English",No,4.9,Group,Auditory,72,No,Sports,No,3,5,High School,Yes
238,Saira Wali,Male,2009-02-19,Miller-Bailey School,CBSE,2023,53,61,43,71,100,65.6,No,"Second Language, Social Science","English, Mathematics",Yes,3.0,Group,Practical,86,No,Arts,No,1,5,Graduate,No
239,Piya Agarwal,Male,2010-01-04,Ho Ltd School,CBSE,2022,77,81,77,61,58,70.8,No,"Science, Mathematics","Second Language, Social Science",No,4.5,Coaching,Auditory,83,Yes,Arts,No,2,5,None,Yes
240,Jiya Sem,Female,2007-09-19,"Garcia, Choi and Cross School",CBSE,2021,56,52,87,66,91,70.4,No,"Second Language, English","Science, Mathematics",Yes,1.9,Coaching,Reading,79,No,None,No,3,4,High School,No
241,Kabir Trivedi,Female,2008-11-28,Jefferson Ltd School,ICSE,2021,86,48,89,95,47,73.0,No,"Social Science, English","Second Language, Science",Yes,4.2,Coaching,Reading,85,Yes,Arts,No,2,4,Postgraduate,Yes
242,Saanvi Ravi,Male,2009-05-01,Mitchell-Leonard School,State,2023,55,91,40,41,71,59.6,Yes,"Science, Second Language","English, Social Science",Yes,2.6,Solo,Auditory,76,No,Debate,No,1,4,Graduate,Yes
243,Madhup Anand,Male,2007-05-13,Hahn LLC School,ICSE,2022,59,61,77,94,78,73.8,No,"Social Science, Second Language","Mathematics, Science",Yes,4.4,Group,Visual,83,Yes,Debate,No,4,2,None,Yes
244,Farhan Chaudhari,Female,2009-12-31,Clayton-Dawson School,State,2023,88,51,76,44,69,65.6,Yes,"Mathematics, English","Social Science, Science",No,1.9,Solo,Auditory,89,Yes,Sports,Yes,1,2,Graduate,Yes
